,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
2292,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300862638/,Краснодар,sale,flat,1,4,2,59.1,7565391,,,,,Микрорайон Новая Елизаветка
2293,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298698857/,Краснодар,sale,flat,19,22,2,65.39,7578000,мкр. Славянский, Заполярная,39к7,,Славянка
2294,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294362947/,Краснодар,sale,flat,4,9,2,62.3,7500920,,,,,Парк Победы - 2
2295,ФЛАГМАН,developer,https://krasnodar.cian.ru/sale/flat/298055859/,Краснодар,sale,flat,5,9,2,54.49,7519620,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
2296,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298960891/,Краснодар,sale,flat,5,18,2,57.21,7581469,Прикубанский, Наставников,,,Архитектор
2297,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194195/,Краснодар,sale,flat,2,16,2,62.75,7592750,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
2298,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294362517/,Краснодар,sale,flat,6,18,2,62.6,7537040,,,,,Парк Победы - 2
2299,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299497645/,Краснодар,sale,flat,-1,-1,-1,202.0,7558200,Прикубанский,шоссе Ближний Западный Обход,2к3,,Отражение
2300,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297752842/,Краснодар,sale,flat,-1,-1,-1,202.0,7542000,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
2301,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297752829/,Краснодар,sale,flat,-1,-1,-1,202.0,7583100,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
2302,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301177409/,Краснодар,sale,flat,2,18,2,63.1,7572000,Карасунский, Виктора Казанцева,,,Первое место
2303,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/293771928/,Краснодар,sale,flat,4,9,2,54.49,7519620,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
2304,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/290056759/,Краснодар,sale,flat,6,18,2,55.67,7571120,,,,,Теплые края
2305,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/301172887/,Краснодар,sale,flat,3,18,2,64.9,7593300,Карасунский, Юрия Радоняка,,,Первое место
2306,Семья,developer,https://krasnodar.cian.ru/sale/flat/283701475/,Краснодар,sale,flat,2,9,2,60.03,7563780,мкр. Калинино, Западный обход,44,,Друзья
2307,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/301038138/,Краснодар,sale,flat,4,9,2,44.4,7548000,мкр. Калинино, Западный обход,42лит2/5,,Sport Village
2308,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/300086367/,Краснодар,sale,flat,4,9,2,44.4,7548000,мкр. Калинино, Западный обход,42лит2/8,,Sport Village
2309,Девелопмент-юг,developer,https://krasnodar.cian.ru/sale/flat/294466510/,Краснодар,sale,flat,1,9,2,50.7,7579650,мкр. Калинино, Западный обход,42лит2/4,,Sport Village
2310,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/301171404/,Краснодар,sale,flat,2,18,2,63.1,7572000,Карасунский, Виктора Казанцева,,,Первое место
2311,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294361449/,Краснодар,sale,flat,1,8,2,59.8,7534800,,,,,ЮГГЕ
2312,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294241888/,Краснодар,sale,flat,1,18,2,50.49,7573500,,,,,Теплые края
2313,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294241878/,Краснодар,sale,flat,1,18,2,50.61,7591500,,,,,Теплые края
2314,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294242267/,Краснодар,sale,flat,4,18,2,55.67,7571120,,,,,Теплые края
2315,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/301138196/,Краснодар,sale,flat,20,24,2,42.6,7540200,,,,,Микрорайон Любимово
2316,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296257700/,Краснодар,sale,flat,5,18,2,55.67,7571120,,,,,Теплые края
2317,Семья,developer,https://krasnodar.cian.ru/sale/flat/291369813/,Краснодар,sale,flat,1,18,2,50.49,7573500,,,,,Теплые края
2318,Семья,developer,https://krasnodar.cian.ru/sale/flat/291369806/,Краснодар,sale,flat,1,18,2,50.61,7591500,,,,,Теплые края
2319,Семья,developer,https://krasnodar.cian.ru/sale/flat/290058306/,Краснодар,sale,flat,9,18,2,55.67,7515450,,,,,Теплые края
2320,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300206866/,Краснодар,sale,flat,14,24,2,58.14,7612561,Прикубанский, Батуринская,10,,Микрорайон Любимово
2321,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301673686/,Краснодар,sale,flat,22,24,2,58.65,7602682,Прикубанский, Батуринская,10,,Микрорайон Любимово
2322,AVA,developer,https://krasnodar.cian.ru/sale/flat/301766838/,Краснодар,sale,flat,3,16,2,66.5,7627550,Зеленодар ЖК, Садовое Кольцо,9/1,,Зеленодар
2323,AVA,developer,https://krasnodar.cian.ru/sale/flat/301767039/,Краснодар,sale,flat,7,16,2,62.2,7644380,Зеленодар ЖК, Садовое Кольцо,9,,Зеленодар
2324,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288552070/,Краснодар,sale,flat,2,22,2,57.0,7649400,Прикубанский,шоссе Ближний Западный Обход,2к3,,Отражение
2325,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299160829/,Краснодар,sale,flat,6,9,2,50.36,7632880,мкр. Калинино, Имени Генерала Брусилова,5лит1.1,,Зеленая территория
2326,ТОЧНО,developer,https://krasnodar.cian.ru/sale/flat/296591188/,Краснодар,sale,flat,2,18,2,66.7,7643820,Карасунский, Виктора Казанцева,,,Первое место
2327,Семья,developer,https://krasnodar.cian.ru/sale/flat/287691855/,Краснодар,sale,flat,9,9,2,61.55,7632200,мкр. Калинино, Имени Б.С. Кудухова,3,,Друзья
2328,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/298960617/,Краснодар,sale,flat,3,18,2,54.46,7611874,,,,,Архитектор
2329,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/289724860/,Краснодар,sale,flat,3,8,2,60.4,7610400,,,,,ЮГГЕ
2330,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298785038/,Краснодар,sale,flat,2,9,2,56.13,7633680,мкр. Калинино, Имени Б.С. Кудухова,,,Друзья
2331,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/300729097/,Краснодар,sale,flat,6,18,2,54.46,7611874,,,,,Архитектор
2332,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194841/,Краснодар,sale,flat,15,16,2,63.15,7641150,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
2333,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299497629/,Краснодар,sale,flat,-1,-1,-1,202.0,7613850,,,,,Отражение
2334,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297526962/,Краснодар,sale,flat,2,18,2,66.7,7643820,Карасунский, Юрия Радоняка,,,Первое место
2335,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/287693672/,Краснодар,sale,flat,2,9,2,61.55,7632200,мкр. Калинино, Имени Б.С. Кудухова,3,,Друзья
2336,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299374297/,Краснодар,sale,flat,1,9,2,44.9,7633000,мкр. Калинино, Западный обход,42лит2/5,,Sport Village
2337,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299374083/,Краснодар,sale,flat,1,9,2,44.9,7633000,мкр. Калинино, Западный обход,42лит2/8,,Sport Village
2338,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/294359458/,Краснодар,sale,flat,3,16,2,57.9,7642800,,,,,Cармат
2339,ФЛАГМАН,developer,https://krasnodar.cian.ru/sale/flat/283861378/,Краснодар,sale,flat,9,9,2,52.28,7632880,мкр. Калинино, Имени Генерала Брусилова,5лит1.1,,Зеленая территория
2340,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/300086189/,Краснодар,sale,flat,22,24,2,43.05,7619850,,,,,Микрорайон Любимово
2341,Семья,developer,https://krasnodar.cian.ru/sale/flat/298780958/,Краснодар,sale,flat,9,9,2,56.13,7633680,мкр. Калинино, Имени Б.С. Кудухова,,,Друзья
2342,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300207199/,Краснодар,sale,flat,2,24,2,63.3,7701584,Прикубанский, Батуринская,10,,Микрорайон Любимово
2343,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297462307/,Краснодар,sale,flat,24,24,2,53.6,7652773,,,,,Микрорайон Любимово
2344,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/297461245/,Краснодар,sale,flat,24,24,2,57.55,7657776,,,,,Микрорайон Любимово
2345,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/300206612/,Краснодар,sale,flat,19,24,2,59.75,7676441,Прикубанский, Батуринская,10,,Микрорайон Любимово
2346,ИНСИТИ,developer,https://krasnodar.cian.ru/sale/flat/294371154/,Краснодар,sale,flat,2,24,2,62.14,7726502,,,,,Микрорайон Любимово
2347,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301673652/,Краснодар,sale,flat,16,24,2,63.35,7707668,Прикубанский, Батуринская,10,,Микрорайон Любимово
2348,ЮГСИТИ Новостройки,representative_developer,https://krasnodar.cian.ru/sale/flat/301673598/,Краснодар,sale,flat,22,24,2,59.75,7676441,Прикубанский, Батуринская,10,,Микрорайон Любимово
2349,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300211479/,Краснодар,sale,flat,18,24,2,63.19,7688201,Прикубанский, Батуринская,10,,Микрорайон Любимово
